"WorkingGroup","FishStock","Year","Recruitment","TBiomass","SSB","Landings","YieldSSB","MeanF","SoP","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"afwg","cod-arct","1946","7.2813900000000000e+05","4168882","1112776","7.0600000000000000e+05","6.3439999999999996e-01","1.8570000000000000e-01","","","","","","","","","","","",""
"afwg","cod-arct","1947","4.2531100000000000e+05","3692801","1165059","8.8201700000000000e+05","7.5710000000000000e-01","3.0470000000000003e-01","","","","","","","","","","","",""
"afwg","cod-arct","1948","4.4259200000000000e+05","3665819","1019114","7.7429500000000000e+05","7.5980000000000003e-01","3.3979999999999999e-01","","","","","","","","","","","",""
"afwg","cod-arct","1949","4.6834800000000000e+05","3065111","729879","8.0012200000000000e+05","1.0962000000000001e+00","3.6190000000000000e-01","","","","","","","","","","","",""
"afwg","cod-arct","1950","7.0490800000000000e+05","2830103","615339","7.3198200000000000e+05","1.1896000000000000e+00","3.5659999999999997e-01","","","","","","","","","","","",""
"afwg","cod-arct","1951","1.0837530000000000e+06","3141009","568705","8.2718000000000000e+05","1.4544999999999999e+00","3.9660000000000001e-01","","","","","","","","","","","",""
"afwg","cod-arct","1952","1.1931110000000000e+06","3407679","520599","8.7679500000000000e+05","1.6841999999999999e+00","5.3480000000000005e-01","","","","","","","","","","","",""
"afwg","cod-arct","1953","1.5903770000000000e+06","3557376","396417","6.9554600000000000e+05","1.7545999999999999e+00","3.5720000000000002e-01","","","","","","","","","","","",""
"afwg","cod-arct","1954","6.4158400000000000e+05","4039204","429694","8.2602100000000000e+05","1.9222999999999999e+00","3.8790000000000002e-01","","","","","","","","","","","",""
"afwg","cod-arct","1955","2.7277800000000000e+05","3488383","346919","1.1478410000000000e+06","3.3087000000000000e+00","5.4369999999999996e-01","","","","","","","","","","","",""
"afwg","cod-arct","1956","4.3960200000000000e+05","3189831","299823","1.3430680000000000e+06","4.4794999999999998e+00","6.4010000000000000e-01","","","","","","","","","","","",""
"afwg","cod-arct","1957","8.0478100000000000e+05","2495895","207840","7.9255700000000000e+05","3.8132999999999999e+00","5.0890000000000002e-01","","","","","","","","","","","",""
"afwg","cod-arct","1958","4.9682400000000000e+05","2164149","195377","7.6931300000000000e+05","3.9376000000000002e+00","5.1690000000000003e-01","","","","","","","","","","","",""
"afwg","cod-arct","1959","6.8369000000000000e+05","2415826","432489","7.4460700000000000e+05","1.7217000000000000e+00","5.5959999999999999e-01","","","","","","","","","","","",""
"afwg","cod-arct","1960","7.8965300000000000e+05","2050805","383479","6.2204200000000000e+05","1.6221000000000001e+00","4.7889999999999999e-01","","","","","","","","","","","",""
"afwg","cod-arct","1961","9.1684200000000000e+05","2137149","404228","7.8322100000000000e+05","1.9376000000000000e+00","6.3480000000000003e-01","","","","","","","","","","","",""
"afwg","cod-arct","1962","7.2833800000000000e+05","1957006","311678","9.0926600000000000e+05","2.9173000000000000e+00","7.5760000000000005e-01","","","","","","","","","","","",""
"afwg","cod-arct","1963","4.7206400000000000e+05","1747579","208207","7.7633700000000000e+05","3.7286999999999999e+00","9.8660000000000003e-01","","","","","","","","","","","",""
"afwg","cod-arct","1964","3.3867800000000000e+05","1374529","186570","4.3769500000000000e+05","2.3460000000000001e+00","6.7889999999999995e-01","","","","","","","","","","","",""
"afwg","cod-arct","1965","7.7694100000000000e+05","1440693","102315","4.4493000000000000e+05","4.3486000000000002e+00","5.5330000000000001e-01","","","","","","","","","","","",""
"afwg","cod-arct","1966","1.5825600000000000e+06","2198418","120722","4.8371100000000000e+05","4.0068000000000001e+00","5.3020000000000000e-01","","","","","","","","","","","",""
